split,feature,dtype,missing,positive_inf,negative_inf,finite_count,mean,std,min,max,nunique
train,xmv_8,float32,0,0,0,300000,0.0006559824105352163,0.9990690350532532,-4.88451623916626,5.0186896324157715,13997
train,xmv_9,float32,0,0,0,300000,0.00015939361765049398,0.9944316744804382,-2.9585177898406982,2.90464448928833,57358
train,xmv_10,float32,0,0,0,300000,0.0009542436455376446,0.9993559718132019,-4.327972888946533,5.991646766662598,26224
train,xmv_11,float32,0,0,0,300000,0.0007974823820404708,1.0005680322647095,-3.6788153648376465,15.861328125,20380
validation,xmeas_1,float32,0,0,0,300000,-0.004562302026897669,0.9936602115631104,-1.8134617805480957,5.160337924957275,56281
validation,xmeas_2,float32,0,0,0,300000,0.0007473946316167712,1.0083000659942627,-6.854663848876953,5.076786518096924,3350
validation,xmeas_3,float32,0,0,0,300000,0.005087434779852629,0.9899132251739502,-7.684116363525391,5.681279182434082,8671
validation,xmeas_4,float32,0,0,0,300000,0.008125371299684048,1.0204100608825684,-6.979931354522705,7.863399028778076,18490
validation,xmeas_5,float32,0,0,0,300000,-0.0013155173510313034,0.997696042060852,-5.789615154266357,6.696690559387207,2211
validation,xmeas_6,float32,0,0,0,300000,0.006831005215644836,1.012312650680542,-7.1710429191589355,7.31640625,2837
validation,xmeas_7,float32,0,0,0,300000,-0.004620636347681284,0.9984761476516724,-3.606067657470703,3.752685546875,4590
validation,xmeas_8,float32,0,0,0,300000,-0.007301125675439835,1.0049890279769897,-9.161888122558594,8.452239990234375,11390
validation,xmeas_9,float32,0,0,0,300000,0.0013679121620953083,0.9990178942680359,-10.80139446258545,7.431182384490967,131
validation,xmeas_10,float32,0,0,0,300000,-0.002346003195270896,0.9926116466522217,-3.541783571243286,5.579261779785156,30150
validation,xmeas_11,float32,0,0,0,300000,0.004379167687147856,0.9931653738021851,-5.912798881530762,4.100723743438721,10070
validation,xmeas_12,float32,0,0,0,300000,-0.0012430143542587757,1.0012173652648926,-4.2867255210876465,4.652289390563965,6469
validation,xmeas_13,float32,0,0,0,300000,-0.004201282747089863,0.9991552233695984,-3.8431975841522217,3.948819875717163,4729
validation,xmeas_14,float32,0,0,0,300000,0.0046547469682991505,0.9908403158187866,-4.647999286651611,6.489717960357666,7085
validation,xmeas_15,float32,0,0,0,300000,-0.0005248334491625428,1.0017141103744507,-4.5183868408203125,4.946497440338135,6596
validation,xmeas_16,float32,0,0,0,300000,-0.005686154123395681,0.9953608512878418,-2.898283004760742,4.3072829246521,4530
validation,xmeas_17,float32,0,0,0,300000,0.0026902901008725166,0.994379997253418,-4.790316581726074,5.698916912078857,4494
validation,xmeas_18,float32,0,0,0,300000,-0.003876547794789076,0.9960538148880005,-6.536482334136963,4.7182512283325195,14464
validation,xmeas_19,float32,0,0,0,300000,-0.005760075058788061,0.9941741824150085,-3.656268358230591,3.255711078643799,32655
validation,xmeas_20,float32,0,0,0,300000,0.008086064830422401,1.003865122795105,-8.253646850585938,4.864095687866211,8145
validation,xmeas_21,float32,0,0,0,300000,-0.004458568524569273,1.0059287548065186,-11.38101863861084,4.179671764373779,9788
validation,xmeas_22,float32,0,0,0,300000,0.0149153433740139,0.964180052280426,-9.873082160949707,4.015499591827393,9612
validation,xmeas_23,float32,0,0,0,300000,0.008235757239162922,0.9986910223960876,-4.9282732009887695,3.9451100826263428,11065
validation,xmeas_24,float32,0,0,0,300000,-0.0034233329351991415,1.0057207345962524,-6.134998321533203,5.699721336364746,16802
validation,xmeas_25,float32,0,0,0,300000,-0.00619631027802825,0.9922545552253723,-4.1340813636779785,4.969181537628174,11000
validation,xmeas_26,float32,0,0,0,300000,-0.0021380227990448475,1.0054904222488403,-6.298412799835205,6.934632778167725,9848
validation,xmeas_27,float32,0,0,0,300000,-0.006621655076742172,1.0142260789871216,-6.852062702178955,7.6256890296936035,8692
validation,xmeas_28,float32,0,0,0,300000,0.00636210385710001,0.9967378973960876,-5.701582908630371,4.107661247253418,9241
validation,xmeas_29,float32,0,0,0,300000,0.009142163209617138,0.9984909892082214,-4.755114555358887,3.95025372505188,14672
validation,xmeas_30,float32,0,0,0,300000,-0.0018032033694908023,1.0023857355117798,-5.9566545486450195,6.101524353027344,2991
validation,xmeas_31,float32,0,0,0,300000,-0.006594314705580473,0.9910879731178284,-4.066195487976074,4.890527725219727,14434
validation,xmeas_32,float32,0,0,0,300000,0.00012194234295748174,1.007379174232483,-6.28499698638916,8.327412605285645,15733
validation,xmeas_33,float32,0,0,0,300000,-0.006811053492128849,1.0122770071029663,-6.419943332672119,7.782016277313232,10968
validation,xmeas_34,float32,0,0,0,300000,0.006944900844246149,0.9962896704673767,-5.493736743927002,4.268670082092285,10400
validation,xmeas_35,float32,0,0,0,300000,0.003946453332901001,0.994905412197113,-4.489750862121582,4.563660621643066,20027
validation,xmeas_36,float32,0,0,0,300000,0.006192720495164394,0.9955973625183105,-4.960707187652588,4.410036087036133,12577
validation,xmeas_37,float32,0,0,0,300000,0.0030109714716672897,0.998601496219635,-4.081906318664551,4.168237686157227,60564
validation,xmeas_38,float32,0,0,0,300000,-0.0064476486295461655,1.0056058168411255,-4.701467037200928,9.665519714355469,30615
validation,xmeas_39,float32,0,0,0,300000,0.0022094554733484983,1.0001322031021118,-5.258180618286133,4.857521057128906,32977
validation,xmeas_40,float32,0,0,0,300000,-0.010046298615634441,1.0011457204818726,-5.445256233215332,5.080936908721924,4125
validation,xmeas_41,float32,0,0,0,300000,0.007473055738955736,0.9992741942405701,-5.266546726226807,4.949583053588867,4413
validation,xmv_1,float32,0,0,0,300000,0.005768521223217249,1.063464641571045,-4.765661716461182,11.343375205993652,11932
validation,xmv_2,float32,0,0,0,300000,0.01040800753980875,1.0404880046844482,-4.514105319976807,9.013195037841797,16432
validation,xmv_3,float32,0,0,0,300000,-0.00811088178306818,0.9923364520072937,-1.5137646198272705,3.4925737380981445,54027
validation,xmv_4,float32,0,0,0,300000,0.005687803030014038,1.0090216398239136,-4.550168514251709,5.119169235229492,28075
validation,xmv_5,float32,0,0,0,300000,-0.00201751128770411,0.997509241104126,-2.135237216949463,7.159637451171875,20773
validation,xmv_6,float32,0,0,0,300000,-0.0027770858723670244,0.996191143989563,-3.1672720909118652,4.479706764221191,42969
validation,xmv_7,float32,0,0,0,300000,-0.001244397833943367,1.0012174844741821,-4.28672456741333,4.651931285858154,17074
validation,xmv_8,float32,0,0,0,300000,-0.0005225443746894598,1.0017132759094238,-4.517730712890625,4.94618034362793,13991
validation,xmv_9,float32,0,0,0,300000,-0.012436363846063614,0.9934646487236023,-2.9589273929595947,2.9075534343719482,56515
validation,xmv_10,float32,0,0,0,300000,0.004906294867396355,0.9949626326560974,-4.318477630615234,5.9998602867126465,26382
validation,xmv_11,float32,0,0,0,300000,-0.01562323234975338,0.9386091232299805,-3.678666114807129,15.859374046325684,19542
test,xmeas_1,float32,0,0,0,300000,-0.030365176498889923,0.9451704025268555,-1.8207846879959106,5.165815353393555,49315
test,xmeas_2,float32,0,0,0,300000,0.029636003077030182,1.0052051544189453,-6.664829254150391,4.896326541900635,3259
test,xmeas_3,float32,0,0,0,300000,0.033111099153757095,0.9735628962516785,-8.261622428894043,5.624264240264893,8322
test,xmeas_4,float32,0,0,0,300000,0.0532224215567112,1.0458656549453735,-7.107620716094971,7.987698554992676,17631
test,xmeas_5,float32,0,0,0,300000,-0.0010160625679418445,0.9830074906349182,-5.962735652923584,6.350450038909912,2183
test,xmeas_6,float32,0,0,0,300000,0.036365751177072525,1.0172322988510132,-6.872960567474365,6.505493640899658,2863
test,xmeas_7,float32,0,0,0,300000,0.02670486643910408,1.0431724786758423,-3.6384434700012207,3.7513365745544434,4364
test,xmeas_8,float32,0,0,0,300000,-0.021771380677819252,0.9577056169509888,-9.322023391723633,9.001275062561035,10714
test,xmeas_9,float32,0,0,0,300000,-4.908620030619204e-05,0.9359009265899658,-10.520894050598145,7.571433067321777,128
test,xmeas_10,float32,0,0,0,300000,-0.024273734539747238,0.9415612816810608,-3.502671718597412,5.57961893081665,27488
test,xmeas_11,float32,0,0,0,300000,-0.021403873339295387,1.0117377042770386,-5.903698444366455,4.244050025939941,9965
test,xmeas_12,float32,0,0,0,300000,-0.004792156629264355,0.995675802230835,-4.254796981811523,4.3519606590271,6440
test,xmeas_13,float32,0,0,0,300000,0.030018288642168045,1.0490505695343018,-3.8967509269714355,3.9541752338409424,4561
test,xmeas_14,float32,0,0,0,300000,-0.0184464231133461,1.0061852931976318,-4.688849925994873,5.707200050354004,7026
test,xmeas_15,float32,0,0,0,300000,-0.006381044164299965,0.9940152168273926,-5.543871879577637,4.741400718688965,6516
test,xmeas_16,float32,0,0,0,300000,0.015653662383556366,1.0151687860488892,-2.937288284301758,4.320284366607666,4374
test,xmeas_17,float32,0,0,0,300000,-0.00687989080324769,0.9984711408615112,-5.262331962585449,5.216103553771973,4424
test,xmeas_18,float32,0,0,0,300000,0.0014524625148624182,0.9213941097259521,-6.794047832489014,4.5861663818359375,13762
test,xmeas_19,float32,0,0,0,300000,0.010307533666491508,0.9817479252815247,-3.64845871925354,3.2508511543273926,30635
test,xmeas_20,float32,0,0,0,300000,0.058214642107486725,1.0166971683502197,-8.202618598937988,5.120145320892334,8124
test,xmeas_21,float32,0,0,0,300000,-0.00839939434081316,0.9598692059516907,-11.254759788513184,3.9271528720855713,9342
test,xmeas_22,float32,0,0,0,300000,0.02854384109377861,0.9119601845741272,-9.748866081237793,4.10237979888916,8718
test,xmeas_23,float32,0,0,0,300000,0.04441389814019203,1.003119707107544,-4.864867210388184,4.598768711090088,11175
test,xmeas_24,float32,0,0,0,300000,-0.061505623161792755,1.0333781242370605,-6.276418685913086,5.895254135131836,17291
test,xmeas_25,float32,0,0,0,300000,-0.00014410125731956214,0.9716609120368958,-4.19084358215332,4.98792839050293,10640
test,xmeas_26,float32,0,0,0,300000,-0.03415021300315857,1.0273053646087646,-6.4723029136657715,5.910948753356934,10374
test,xmeas_27,float32,0,0,0,300000,-0.057485923171043396,1.0901671648025513,-6.726654052734375,7.553873538970947,8848
test,xmeas_28,float32,0,0,0,300000,-0.0019981327932327986,1.029948353767395,-5.815761566162109,4.240949630737305,10063
test,xmeas_29,float32,0,0,0,300000,0.044412761926651,1.0063430070877075,-4.8472065925598145,4.901869773864746,15084
test,xmeas_30,float32,0,0,0,300000,-0.058553293347358704,1.0170215368270874,-6.569900989532471,7.086223125457764,2990
test,xmeas_31,float32,0,0,0,300000,-0.0023308165837079287,0.9683719873428345,-4.038129806518555,4.884779453277588,13983
test,xmeas_32,float32,0,0,0,300000,-0.04978702962398529,1.0378121137619019,-6.2003092765808105,8.569082260131836,18482
test,xmeas_33,float32,0,0,0,300000,-0.057498618960380554,1.0912023782730103,-6.403878688812256,7.890644073486328,11138
test,xmeas_34,float32,0,0,0,300000,-0.00021028956689406186,1.027077317237854,-5.569582939147949,3.9646973609924316,9886
test,xmeas_35,float32,0,0,0,300000,-0.023789824917912483,1.0104131698608398,-4.584910869598389,4.634737014770508,20276
test,xmeas_36,float32,0,0,0,300000,-0.012848165817558765,0.9997584223747253,-4.935404300689697,4.246669292449951,12758
test,xmeas_37,float32,0,0,0,300000,-0.013700958341360092,1.0032793283462524,-4.280528545379639,4.810492515563965,77174
test,xmeas_38,float32,0,0,0,300000,-0.04889221861958504,1.021239161491394,-4.957849979400635,9.126760482788086,36477
test,xmeas_39,float32,0,0,0,300000,-0.006183711811900139,1.0066331624984741,-5.445214748382568,5.182600021362305,38632
test,xmeas_40,float32,0,0,0,300000,-0.0388188399374485,1.0098838806152344,-5.818916320800781,5.383997917175293,4455
test,xmeas_41,float32,0,0,0,300000,0.025964107364416122,1.0118120908737183,-5.236886978149414,5.719088077545166,4741
test,xmv_1,float32,0,0,0,300000,0.17123281955718994,1.657702088356018,-10.768145561218262,11.343375205993652,14935
test,xmv_2,float32,0,0,0,300000,0.07900699973106384,1.4647952318191528,-8.983757019042969,9.013195037841797,18551
test,xmv_3,float32,0,0,0,300000,-0.049832217395305634,0.9509292244911194,-1.5150859355926514,3.496068239212036,48329
test,xmv_4,float32,0,0,0,300000,0.0669235959649086,1.203283429145813,-8.763697624206543,5.119169235229492,25253
test,xmv_5,float32,0,0,0,300000,0.026457421481609344,1.1507470607757568,-2.135930299758911,7.160565376281738,19618
test,xmv_6,float32,0,0,0,300000,-0.051162246614694595,1.0201196670532227,-3.1672720909118652,4.436649799346924,41768
test,xmv_7,float32,0,0,0,300000,-0.004792151506990194,0.9956768751144409,-4.25519323348999,4.352213382720947,16897
test,xmv_8,float32,0,0,0,300000,-0.006382116116583347,0.9940148591995239,-5.543457984924316,4.741798400878906,13839
test,xmv_9,float32,0,0,0,300000,-0.053544048219919205,0.9946108460426331,-2.978743553161621,2.911626100540161,56140
test,xmv_10,float32,0,0,0,300000,0.01068283524364233,1.1876014471054077,-4.351072311401367,6.021420955657959,26680
test,xmv_11,float32,0,0,0,300000,0.09696317464113235,1.6719143390655518,-3.679098129272461,15.861328125,21445
